	Variable1	Variable2	Correlation	Variable1_type	Variable2_type	P-value
135565	Rpl36a	Texture_SumAverage_FITC_3_01_256	0.411300399094853	Genes	CP features	2.59991469689838e-83
135566	Rpl36a	Texture_SumAverage_FITC_3_02_256	0.411142346139292	Genes	CP features	3.0504738494378097e-83
135567	Rpl36a	Texture_SumAverage_FITC_3_03_256	0.412157036000062	Genes	CP features	1.09254555229703e-83
135576	Rpl36a	Texture_SumEntropy_FITC_3_00_256	0.338954352811386	Genes	CP features	2.7560306713734502e-55
135577	Rpl36a	Texture_SumEntropy_FITC_3_01_256	0.339395305094167	Genes	CP features	1.95443286666825e-55
135578	Rpl36a	Texture_SumEntropy_FITC_3_02_256	0.338496078741867	Genes	CP features	3.9378220266003196e-55
135579	Rpl36a	Texture_SumEntropy_FITC_3_03_256	0.34033255073182	Genes	CP features	9.375681759643949e-56
135588	Rpl36a	Texture_SumVariance_FITC_3_00_256	0.375533502282774	Genes	CP features	1.49637601134538e-68
135589	Rpl36a	Texture_SumVariance_FITC_3_01_256	0.382415696831571	Genes	CP features	2.98989361169733e-71
135590	Rpl36a	Texture_SumVariance_FITC_3_02_256	0.381688178523024	Genes	CP features	5.81244115630503e-71
135591	Rpl36a	Texture_SumVariance_FITC_3_03_256	0.378498395631678	Genes	CP features	1.04673195999377e-69
135600	Rpl36a	Texture_Variance_FITC_3_00_256	0.371546239213946	Genes	CP features	5.1091276125696404e-67
135601	Rpl36a	Texture_Variance_FITC_3_01_256	0.37375402563392	Genes	CP features	7.27399123942942e-68
135602	Rpl36a	Texture_Variance_FITC_3_02_256	0.374584276248984	Genes	CP features	3.48184062810061e-68
135603	Rpl36a	Texture_Variance_FITC_3_03_256	0.373624032324844	Genes	CP features	8.15825570339725e-68
135604	Rpl10	Bex3	0.31031051424588	Genes	Genes	4.34675279560976e-46
135605	Rpl10	Tmsb4x	0.358859271037364	Genes	Genes	2.75702540966793e-62
135606	Rpl10	Rps4x	0.435611907449071	Genes	Genes	1.9812877468155e-94
135607	Rpl10	Psmb4	0.425255478856094	Genes	Genes	1.4109538434794201e-89
135608	Rpl10	Rps3a1	0.327436469063741	Genes	Genes	1.8247957540368e-51
135609	Rpl10	Rpl34	0.342007343265195	Genes	Genes	2.50919001954071e-56
135610	Rpl10	Krtcap2	0.37293650168215	Genes	Genes	1.49928161030837e-67
135612	Rpl10	Rps27	0.477952626814967	Genes	Genes	3.96678675738503e-116
135614	Rpl10	Rpl22	0.480461958846508	Genes	Genes	1.6335489749390203e-117
135615	Rpl10	Rps6	0.334200372033679	Genes	Genes	1.09085129303701e-53
135616	Rpl10	Rpl11	0.442917894167018	Genes	Genes	5.911731426468811e-98
135617	Rpl10	Rps8	0.517280824676426	Genes	Genes	2.95106835251239e-139
135618	Rpl10	Micos10	0.416716271069641	Genes	Genes	1.0470958328717601e-85
135619	Rpl10	Txn1	0.471333131628859	Genes	Genes	1.5729702713409896e-112
135620	Rpl10	Rps20	0.5770104151237151	Genes	Genes	7.40161645084198e-181
135622	Rpl10	Arpc1b	0.320661092829538	Genes	Genes	2.69737276155814e-49
135623	Rpl10	Atp5j2	0.384871964837224	Genes	Genes	3.1357742496393e-72
135624	Rpl10	Dynll1	0.346841405529568	Genes	Genes	5.3477600827219e-58
135625	Rpl10	Rplp0	0.488494745765339	Genes	Genes	4.98445959272808e-122
135626	Rpl10	Rpl9	0.409206610467764	Genes	Genes	2.13843265190612e-82
135627	Rpl10	Rpl6	0.403621765387335	Genes	Genes	5.4893516550485096e-80
135628	Rpl10	Actb	0.39352402747799	Genes	Genes	9.553974748434867e-76
135629	Rpl10	Cox6a1	0.387024468018443	Genes	Genes	4.2830230793170896e-73
135630	Rpl10	Trbc2	0.314365492623893	Genes	Genes	2.4906909505113004e-47
135631	Rpl10	Rpl32	0.496599559993468	Genes	Genes	1.02892488299e-126
135632	Rpl10	Gapdh	0.345015482983767	Genes	Genes	2.30518989867429e-57
135633	Rpl10	Aldoa	0.394087083736846	Genes	Genes	5.594147298617411e-76
135634	Rpl10	Eif3f	0.332068395700991	Genes	Genes	5.55533246977809e-53
135635	Rpl10	Rps16	0.39597306220397	Genes	Genes	9.231859040087848e-77
135636	Rpl10	Rpl27a	0.441374185130237	Genes	Genes	3.3383120317790705e-97
135637	Rpl10	Rps9	0.473540971064201	Genes	Genes	1.01167336108924e-113
135638	Rpl10	Cox6a2	0.347589370290769	Genes	Genes	2.9309285544897004e-58
135639	Rpl10	Rps11	0.389444918035473	Genes	Genes	4.4845746482958e-74
135640	Rpl10	Rpl28	0.481672352759491	Genes	Genes	3.46709743865092e-118
135641	Rpl10	Ftl1	0.426985182684729	Genes	Genes	2.2429327340163997e-90
135642	Rpl10	Rps19	0.498400928796992	Genes	Genes	8.970766565399041e-128
135643	Rpl10	Rps17	0.494309955286254	Genes	Genes	2.23770456735546e-125
135644	Rpl10	Rps3	0.55541812969618	Genes	Genes	7.91726378687193e-165
135645	Rpl10	Rps13	0.385583497970001	Genes	Genes	1.62521463933088e-72
135646	Rpl10	Rps15a	0.5269270836936031	Genes	Genes	2.06333750123512e-145
135647	Rpl10	Ucp2	0.307417289533231	Genes	Genes	3.2473673400554704e-45
135648	Rpl10	Rps5	0.571643791205232	Genes	Genes	9.25280158030715e-177
135649	Rpl10	Rplp2	0.572913101279115	Genes	Genes	1.00937966619329e-177
135650	Rpl10	Ldha	0.355164037477432	Genes	Genes	6.017980350608031e-61
135651	Rpl10	Rpl18	0.37457957931506	Genes	Genes	3.4962393881280003e-68
135652	Rpl10	Naca	0.309588843155811	Genes	Genes	7.19653586717653e-46
135653	Rpl10	Atp5b	0.319399456879124	Genes	Genes	6.7339140178918e-49
135654	Rpl10	Rpl41	0.566092816213238	Genes	Genes	1.3247042270439e-172
135655	Rpl10	Rps26	0.5502065985011341	Genes	Genes	3.9089442161679e-161
135656	Rpl10	Rps12	0.5898176934825	Genes	Genes	5.976708884046851e-191
135657	Rpl10	Mif	0.334793245854145	Genes	Genes	6.921809350045e-54
135659	Rpl10	Atp5d	0.327833656875135	Genes	Genes	1.3561542318571002e-51
135660	Rpl10	Rps15	0.514489916204771	Genes	Genes	1.6270875576486202e-137
135661	Rpl10	Eef2	0.469270112438694	Genes	Genes	2.0082608539450704e-111
135663	Rpl10	Uba52	0.345840281825478	Genes	Genes	1.19279330851973e-57
135664	Rpl10	Rpl18a	0.409449092158954	Genes	Genes	1.67781124695847e-82
135665	Rpl10	Cox4i1	0.305582468706097	Genes	Genes	1.1520639483418e-44
135666	Rpl10	Rpl13	0.450758788677599	Genes	Genes	7.74887651874351e-102
135667	Rpl10	Tpt1	0.405760133843692	Genes	Genes	6.63881817420753e-81
135668	Rpl10	Rpl15	0.331832381667744	Genes	Genes	6.64625586400395e-53
135669	Rpl10	Rps24	0.450237126751109	Genes	Genes	1.4144803453097499e-101
135670	Rpl10	Eef1a1	0.372076680671092	Genes	Genes	3.20149566503571e-67
135672	Rpl10	Rps25	0.372307843783248	Genes	Genes	2.6105639173569702e-67
135673	Rpl10	Rplp1	0.543613530400177	Genes	Genes	1.48975729862656e-156
135674	Rpl10	Rpsa	0.447002954196984	Genes	Genes	5.77933927827826e-100
135675	Rpl10	Rpl4	0.45237673378344	Genes	Genes	1.18979770027137e-102
135676	Rpl10	Rpl23	0.357119249635075	Genes	Genes	1.18458968424942e-61
135677	Rpl10	Rpl19	0.367869719130013	Genes	Genes	1.2656361601358201e-65
135678	Rpl10	Rps27a	0.424468645726464	Genes	Genes	3.2434918111307005e-89
135679	Rpl10	Eif1	0.335742128020673	Genes	Genes	3.33217188573783e-54
135680	Rpl10	Rack1	0.5176820732103721	Genes	Genes	1.65165208244664e-139
135681	Rpl10	Rpl27	0.460169169718451	Genes	Genes	1.22582859367059e-106
135684	Rpl10	Rpl38	0.466969345501157	Genes	Genes	3.3693696693685604e-110
135685	Rpl10	2410006H16Rik	0.345774713955631	Genes	Genes	1.2570519557441e-57
135686	Rpl10	Rpl23a	0.337232482130841	Genes	Genes	1.05208052831978e-54
135687	Rpl10	Rps23	0.425299872576308	Genes	Genes	1.3460518070014601e-89
135688	Rpl10	Rps29	0.504749164367301	Genes	Genes	1.48368777791987e-131
135689	Rpl10	Rps7	0.466869085349565	Genes	Genes	3.80637801451121e-110
135690	Rpl10	Rpl37	0.476770202880403	Genes	Genes	1.7653347965048501e-115
135691	Rpl10	Rpl30	0.474249672532478	Genes	Genes	4.175467357147191e-114
135692	Rpl10	Ly6e	0.375864677223716	Genes	Genes	1.11327925768326e-68
135693	Rpl10	Rpl8	0.545265513671097	Genes	Genes	1.08531440795058e-157
135694	Rpl10	Lgals1	0.471943267143838	Genes	Genes	7.39717392041846e-113
135695	Rpl10	Bin2	0.365325497103007	Genes	Genes	1.13402981272158e-64
135696	Rpl10	Sod1	0.419371889800414	Genes	Genes	6.7441784746935205e-87
135700	Rpl10	Rpl36	0.448036072111792	Genes	Genes	1.7743351162505802e-100
135702	Rpl10	Rps10	0.412387329145403	Genes	Genes	8.662065580383511e-84
135703	Rpl10	Rpl10a	0.378858698722669	Genes	Genes	7.56458930364969e-70
135704	Rpl10	Rps28	0.562917797409737	Genes	Genes	2.90797592203667e-170
135705	Rpl10	Rps18	0.374616218008307	Genes	Genes	3.38432801704335e-68
135706	Rpl10	Rps2	0.429043096924612	Genes	Genes	2.47961832634362e-91
135707	Rpl10	Rps14	0.40515129184285	Genes	Genes	1.2133491697987999e-80
135708	Rpl10	Rpl17	0.418444142235053	Genes	Genes	1.7632989814726e-86
135709	Rpl10	Fth1	0.524491736685552	Genes	Genes	7.73043539765933e-144
135710	Rpl10	Fau	0.402249976912401	Genes	Genes	2.1084888357678398e-79
135711	Rpl10	mt-Nd1	0.444641751966971	Genes	Genes	8.45506520522449e-99
135712	Rpl10	mt-Co1	0.362687891636063	Genes	Genes	1.0837252239828702e-63
135713	Rpl10	mt-Nd4	0.356582563786106	Genes	Genes	1.85191209282908e-61
135714	Rpl10	mt-Cytb	0.513181353955232	Genes	Genes	1.05470710711054e-136
135901	Rpl10	Granularity_1_FITC	-0.342295511985702	Genes	CP features	1.99836075920356e-56
135906	Rpl10	Granularity_4_FITC	0.406108598992641	Genes	CP features	4.69803873499696e-81
135908	Rpl10	Granularity_5_FITC	0.360750535884101	Genes	CP features	5.60827069341355e-63
135919	Rpl10	Intensity_IntegratedIntensity_FITC	0.447801455091257	Genes	CP features	2.32116564180831e-100
135923	Rpl10	Location_MaxIntensity_Y_FITC	-0.319643901530071	Genes	CP features	5.6425092259183e-49
135928	Rpl10	Texture_Contrast_Cy5_3_00_256	-0.304136786512512	Genes	CP features	3.09979693468988e-44
135929	Rpl10	Texture_Contrast_Cy5_3_01_256	-0.302004776266276	Genes	CP features	1.3210633555975599e-43
135930	Rpl10	Texture_Contrast_Cy5_3_02_256	-0.304533093463945	Genes	CP features	2.3628666983985897e-44
135931	Rpl10	Texture_Contrast_Cy5_3_03_256	-0.305010569640708	Genes	CP features	1.7046956168373202e-44
135932	Rpl10	Texture_Contrast_FITC_3_00_256	0.371102983747318	Genes	CP features	7.543373330227241e-67
135933	Rpl10	Texture_Contrast_FITC_3_01_256	0.37002414188873	Genes	CP features	1.94037708277627e-66
135934	Rpl10	Texture_Contrast_FITC_3_02_256	0.379374021927124	Genes	CP features	4.7490085878499796e-70
135935	Rpl10	Texture_Contrast_FITC_3_03_256	0.377486579918393	Genes	CP features	2.6020898682208696e-69
135940	Rpl10	Texture_DifferenceEntropy_Cy5_3_00_256	-0.307281322685901	Genes	CP features	3.56736369972307e-45
135941	Rpl10	Texture_DifferenceEntropy_Cy5_3_01_256	-0.305090029849705	Genes	CP features	1.61443409255498e-44
135942	Rpl10	Texture_DifferenceEntropy_Cy5_3_02_256	-0.305000772674748	Genes	CP features	1.7161237389119098e-44
135943	Rpl10	Texture_DifferenceEntropy_Cy5_3_03_256	-0.306562828110723	Genes	CP features	5.86121350075769e-45
135944	Rpl10	Texture_DifferenceEntropy_FITC_3_00_256	0.354709868540852	Genes	CP features	8.769858942559922e-61
135945	Rpl10	Texture_DifferenceEntropy_FITC_3_01_256	0.355743956653244	Genes	CP features	3.7214200785664004e-61
135946	Rpl10	Texture_DifferenceEntropy_FITC_3_02_256	0.355355213657167	Genes	CP features	5.137380171525871e-61
135947	Rpl10	Texture_DifferenceEntropy_FITC_3_03_256	0.357246311254146	Genes	CP features	1.06501550749768e-61
135952	Rpl10	Texture_Entropy_Cy5_3_00_256	-0.307053695406799	Genes	CP features	4.17486398285863e-45
135953	Rpl10	Texture_Entropy_Cy5_3_01_256	-0.307282425406482	Genes	CP features	3.56478096568832e-45
135954	Rpl10	Texture_Entropy_Cy5_3_02_256	-0.306726487265984	Genes	CP features	5.23445737385027e-45
135955	Rpl10	Texture_Entropy_Cy5_3_03_256	-0.30722150298638	Genes	CP features	3.71833603238231e-45
135956	Rpl10	Texture_Entropy_FITC_3_00_256	0.358140294828441	Genes	CP features	5.03856224381598e-62
135957	Rpl10	Texture_Entropy_FITC_3_01_256	0.358212936568348	Genes	CP features	4.74143210236885e-62
135958	Rpl10	Texture_Entropy_FITC_3_02_256	0.358484090502779	Genes	CP features	3.7771770559331295e-62
135959	Rpl10	Texture_Entropy_FITC_3_03_256	0.358229620126052	Genes	CP features	4.676164982574101e-62
135964	Rpl10	Texture_SumAverage_FITC_3_00_256	0.439453984037506	Genes	CP features	2.84090040874022e-96
135965	Rpl10	Texture_SumAverage_FITC_3_01_256	0.440356292061655	Genes	CP features	1.03956898128495e-96
135966	Rpl10	Texture_SumAverage_FITC_3_02_256	0.439944914131782	Genes	CP features	1.6440158833753397e-96
135967	Rpl10	Texture_SumAverage_FITC_3_03_256	0.441404706355387	Genes	CP features	3.22636771324299e-97
135972	Rpl10	Texture_SumEntropy_Cy5_3_00_256	-0.305382819723785	Genes	CP features	1.32155655499955e-44
135973	Rpl10	Texture_SumEntropy_Cy5_3_01_256	-0.305428539067448	Genes	CP features	1.28073335700122e-44
135974	Rpl10	Texture_SumEntropy_Cy5_3_02_256	-0.30538760099969	Genes	CP features	1.3172343311221502e-44
135975	Rpl10	Texture_SumEntropy_Cy5_3_03_256	-0.306168144047935	Genes	CP features	7.693485894877131e-45
135976	Rpl10	Texture_SumEntropy_FITC_3_00_256	0.357875691269652	Genes	CP features	6.29126799769291e-62
135977	Rpl10	Texture_SumEntropy_FITC_3_01_256	0.358792985388206	Genes	CP features	2.91421899232643e-62
135978	Rpl10	Texture_SumEntropy_FITC_3_02_256	0.358257324292729	Genes	CP features	4.5696461144878505e-62
135979	Rpl10	Texture_SumEntropy_FITC_3_03_256	0.358595473307151	Genes	CP features	3.43983861521563e-62
135984	Rpl10	Texture_SumVariance_Cy5_3_00_256	-0.301553434200321	Genes	CP features	1.7922027945242998e-43
135985	Rpl10	Texture_SumVariance_Cy5_3_01_256	-0.301491287875229	Genes	CP features	1.8690698929194106e-43
135986	Rpl10	Texture_SumVariance_Cy5_3_02_256	-0.302625896018488	Genes	CP features	8.667249706909621e-44
135987	Rpl10	Texture_SumVariance_Cy5_3_03_256	-0.301787290777711	Genes	CP features	1.5303923998239202e-43
135988	Rpl10	Texture_SumVariance_FITC_3_00_256	0.387635675290377	Genes	CP features	2.4279109540584e-73
135989	Rpl10	Texture_SumVariance_FITC_3_01_256	0.391492951072896	Genes	CP features	6.542436540393249e-75
135990	Rpl10	Texture_SumVariance_FITC_3_02_256	0.387548150054248	Genes	CP features	2.63347660454359e-73
135991	Rpl10	Texture_SumVariance_FITC_3_03_256	0.384501792098797	Genes	CP features	4.41172391154957e-72
135996	Rpl10	Texture_Variance_Cy5_3_00_256	-0.302313891229807	Genes	CP features	1.0716132953331e-43
135997	Rpl10	Texture_Variance_Cy5_3_01_256	-0.30207790076883	Genes	CP features	1.2571527637275399e-43
135998	Rpl10	Texture_Variance_Cy5_3_02_256	-0.303327369423153	Genes	CP features	5.38262609047996e-44
135999	Rpl10	Texture_Variance_Cy5_3_03_256	-0.303012205092308	Genes	CP features	6.669237976839639e-44
136000	Rpl10	Texture_Variance_FITC_3_00_256	0.378369895608895	Genes	CP features	1.17552369234129e-69
136001	Rpl10	Texture_Variance_FITC_3_01_256	0.378876405911376	Genes	CP features	7.445921349028079e-70
136002	Rpl10	Texture_Variance_FITC_3_02_256	0.378984462763732	Genes	CP features	6.75317164718052e-70
136003	Rpl10	Texture_Variance_FITC_3_03_256	0.377327334316998	Genes	CP features	3.0030321324396e-69
136013	Bex3	Rpl22	0.302886711417999	Genes	Genes	7.261798653655579e-44
136015	Bex3	Rpl11	0.310784153326637	Genes	Genes	3.11843104776365e-46
136016	Bex3	Rps8	0.337636538753696	Genes	Genes	7.68520049584403e-55
136018	Bex3	Txn1	0.353593094148501	Genes	Genes	2.2068649194545799e-60
136019	Bex3	Rps20	0.371319628685047	Genes	Genes	6.237260192195999e-67
136024	Bex3	Rplp0	0.334004886801119	Genes	Genes	1.2674931148585e-53
136030	Bex3	Rpl32	0.350347808484805	Genes	Genes	3.14317846653124e-59
136040	Bex3	Ftl1	0.333125585244854	Genes	Genes	2.4838825634895502e-53
136041	Bex3	Rps19	0.328715432619769	Genes	Genes	6.996804151485079e-52
136042	Bex3	Rps17	0.338205776305129	Genes	Genes	4.93467793132597e-55
136043	Bex3	Rps3	0.356802491733546	Genes	Genes	1.5424450403709802e-61
136045	Bex3	Rps15a	0.345190078136324	Genes	Genes	2.0059178583283895e-57
136047	Bex3	Rps5	0.348531236860497	Genes	Genes	1.3711357670726101e-58
136048	Bex3	Rplp2	0.365913466313348	Genes	Genes	6.84185469549793e-65
136053	Bex3	Rpl41	0.367668187813426	Genes	Genes	1.50578732825976e-65
136054	Bex3	Rps26	0.370986264258628	Genes	Genes	8.356288288334391e-67
136055	Bex3	Rps12	0.375494783553445	Genes	Genes	1.54877635814305e-68
136059	Bex3	Rps15	0.352114735182118	Genes	Genes	7.428981304917869e-60
136072	Bex3	Rplp1	0.339108518851646	Genes	Genes	2.44410145717574e-55
136074	Bex3	Rpl4	0.320681083909004	Genes	Genes	2.6587028030566097e-49
136079	Bex3	Rack1	0.347956511900961	Genes	Genes	2.1807184691016106e-58
136080	Bex3	Rpl27	0.346141313858964	Genes	Genes	9.37588526109903e-58
136083	Bex3	Rpl38	0.347693711827713	Genes	Genes	2.6943112940890903e-58
136087	Bex3	Rps29	0.3002925728956	Genes	Genes	4.19170686245311e-43
136088	Bex3	Rps7	0.331369129143839	Genes	Genes	9.44121905094776e-53
136089	Bex3	Rpl37	0.327716712479779	Genes	Genes	1.47993589183408e-51
136090	Bex3	Rpl30	0.329288937924735	Genes	Genes	4.54481744700494e-52
136092	Bex3	Rpl8	0.350834399484979	Genes	Genes	2.1148088029585008e-59
136093	Bex3	Lgals1	0.309893923011753	Genes	Genes	5.8167989445355504e-46
136095	Bex3	Sod1	0.344264542106028	Genes	Genes	4.1935059224574803e-57
136103	Bex3	Rps28	0.338634886299687	Genes	Genes	3.53527758419159e-55
136104	Bex3	Rps18	0.301642765796813	Genes	Genes	1.6873972172423399e-43
136106	Bex3	Rps14	0.325086160017285	Genes	Genes	1.04853434519291e-50
136108	Bex3	Fth1	0.345032313506962	Genes	Genes	2.2746963166265802e-57
136110	Bex3	mt-Nd1	0.320783249227935	Genes	Genes	2.4691094714946497e-49
136113	Bex3	mt-Cytb	0.343211234049996	Genes	Genes	9.68443478777012e-57
136290	Bex3	Intensity_IntegratedIntensity_FITC	0.330488593776968	Genes	CP features	1.83840131557186e-52
136335	Bex3	Texture_SumAverage_FITC_3_00_256	0.309780884264731	Genes	CP features	6.29516524519475e-46
136336	Bex3	Texture_SumAverage_FITC_3_01_256	0.310480504264196	Genes	CP features	3.85938091250565e-46
136337	Bex3	Texture_SumAverage_FITC_3_02_256	0.308598782671261	Genes	CP features	1.43241750497418e-45
136338	Bex3	Texture_SumAverage_FITC_3_03_256	0.309195144212805	Genes	CP features	9.467809266278241e-46
136375	Tmsb4x	Rps4x	0.321902260972375	Genes	Genes	1.0923402976960198e-49
136381	Tmsb4x	Rps27	0.345968333791457	Genes	Genes	1.07646176975369e-57
136383	Tmsb4x	Rpl22	0.356385145353354	Genes	Genes	2.18326115879199e-61
136384	Tmsb4x	Rps6	0.301207479124905	Genes	Genes	2.2626626499024198e-43
136385	Tmsb4x	Rpl11	0.384267345570535	Genes	Genes	5.475624610834709e-72
136386	Tmsb4x	Rps8	0.405978150273301	Genes	Genes	5.34683969478012e-81
136388	Tmsb4x	Txn1	0.335982000686785	Genes	Genes	2.7694333598998497e-54
136389	Tmsb4x	Rps20	0.418403380970926	Genes	Genes	1.8386284588399805e-86
136394	Tmsb4x	Rplp0	0.402253446811408	Genes	Genes	2.10139067768652e-79
136395	Tmsb4x	Rpl9	0.328087583840051	Genes	Genes	1.12155334917039e-51
136396	Tmsb4x	Rpl6	0.30904347265722	Genes	Genes	1.05217618471498e-45
136400	Tmsb4x	Rpl32	0.355782152571756	Genes	Genes	3.6057519465481496e-61
136404	Tmsb4x	Rps16	0.301349565548801	Genes	Genes	2.05673640274983e-43
136405	Tmsb4x	Rpl27a	0.342705739732065	Genes	Genes	1.4448881282939602e-56
136406	Tmsb4x	Rps9	0.326886703634724	Genes	Genes	2.7513619220229096e-51
136409	Tmsb4x	Rpl28	0.366879920520722	Genes	Genes	2.9754670211512903e-65
136411	Tmsb4x	Rps19	0.349896119880324	Genes	Genes	4.5388363589045e-59
136412	Tmsb4x	Rps17	0.386291243163293	Genes	Genes	8.451126063886131e-73
136413	Tmsb4x	Rps3	0.396459435286584	Genes	Genes	5.78735939305848e-77
136415	Tmsb4x	Rps15a	0.388386826515779	Genes	Genes	1.20541603794015e-73
136417	Tmsb4x	Rps5	0.400183236517238	Genes	Genes	1.58271099043082e-78
136418	Tmsb4x	Rplp2	0.381036570569489	Genes	Genes	1.0526257085072799e-70
136423	Tmsb4x	Rpl41	0.393632409765525	Genes	Genes	8.619777946719981e-76
136424	Tmsb4x	Rps26	0.409836123084422	Genes	Genes	1.13755567839281e-82
136425	Tmsb4x	Rps12	0.436517547373841	Genes	Genes	7.32781557682828e-95
136429	Tmsb4x	Rps15	0.395199539619457	Genes	Genes	1.9365667465049294e-76
136430	Tmsb4x	Eef2	0.398332432942983	Genes	Genes	9.51858611165941e-78
136433	Tmsb4x	Rpl18a	0.302195416179737	Genes	Genes	1.16121800129178e-43
136435	Tmsb4x	Rpl13	0.325803565567763	Genes	Genes	6.16537845658711e-51
136436	Tmsb4x	Tpt1	0.307320365861119	Genes	Genes	3.47273355763265e-45
136438	Tmsb4x	Rps24	0.301113207260849	Genes	Genes	2.4113018091106402e-43
136441	Tmsb4x	Rps25	0.309425268326153	Genes	Genes	8.06623301528657e-46
136442	Tmsb4x	Rplp1	0.383690684660906	Genes	Genes	9.308749063234041e-72
136444	Tmsb4x	Rpl4	0.334471260627585	Genes	Genes	8.8638413398444e-54
136449	Tmsb4x	Rack1	0.406229221211782	Genes	Genes	4.1685642688759294e-81
136450	Tmsb4x	Rpl27	0.333277922466932	Genes	Genes	2.21110289087488e-53
136453	Tmsb4x	Rpl38	0.347091099664185	Genes	Genes	4.375747472102021e-58
136456	Tmsb4x	Rps23	0.323077399811851	Genes	Genes	4.61642553533965e-50
136457	Tmsb4x	Rps29	0.379872017852653	Genes	Genes	3.02848670502665e-70
136458	Tmsb4x	Rps7	0.385321684394473	Genes	Genes	2.0696325609236e-72
136459	Tmsb4x	Rpl37	0.33908622295511	Genes	Genes	2.48649066850665e-55
136460	Tmsb4x	Rpl30	0.384038801954913	Genes	Genes	6.759163150896432e-72
136462	Tmsb4x	Rpl8	0.353369208168892	Genes	Genes	2.652987088047949e-60
136463	Tmsb4x	Lgals1	0.335756399874727	Genes	Genes	3.2957876246077603e-54
136465	Tmsb4x	Sod1	0.300771032740293	Genes	Genes	3.0373605487425705e-43
136469	Tmsb4x	Rpl36	0.340080540423967	Genes	Genes	1.14260610843664e-55
136471	Tmsb4x	Rps10	0.365002126483857	Genes	Genes	1.49754245614533e-64
136473	Tmsb4x	Rps28	0.39940995555627	Genes	Genes	3.35456882518837e-78
136475	Tmsb4x	Rps2	0.306033342057215	Genes	Genes	8.444743899870159e-45
136477	Tmsb4x	Rpl17	0.351344335173074	Genes	Genes	1.39501162176027e-59
136478	Tmsb4x	Fth1	0.377705804340459	Genes	Genes	2.13681001807404e-69
136479	Tmsb4x	Fau	0.301963773669694	Genes	Genes	1.3581165799369402e-43
136480	Tmsb4x	mt-Nd1	0.368678957183846	Genes	Genes	6.27121686439411e-66
136483	Tmsb4x	mt-Cytb	0.392418269762109	Genes	Genes	2.7273248223755597e-75
136658	Tmsb4x	Intensity_IntegratedIntensity_FITC	0.335835435592119	Genes	CP features	3.10136884758076e-54
136706	Tmsb4x	Texture_SumAverage_FITC_3_00_256	0.331976717414916	Genes	CP features	5.9561657136740605e-53
136707	Tmsb4x	Texture_SumAverage_FITC_3_01_256	0.331810659074738	Genes	CP features	6.756162313487552e-53
136708	Tmsb4x	Texture_SumAverage_FITC_3_02_256	0.329981671650015	Genes	CP features	2.69614492441834e-52
136709	Tmsb4x	Texture_SumAverage_FITC_3_03_256	0.3304413054771	Genes	CP features	1.90516197738104e-52
136746	Rps4x	Psmb4	0.363145482266587	Genes	Genes	7.334968753370261e-64
136747	Rps4x	Rps3a1	0.300665884650473	Genes	Genes	3.26027883703491e-43
136749	Rps4x	Krtcap2	0.331522252372847	Genes	Genes	8.40859459784641e-53
136751	Rps4x	Rps27	0.394517871071358	Genes	Genes	3.713265657086589e-76
136753	Rps4x	Rpl22	0.43199896270667	Genes	Genes	1.0218044053041599e-92
136754	Rps4x	Rps6	0.304553425744929	Genes	Genes	2.33020089422706e-44
136755	Rps4x	Rpl11	0.430314878902698	Genes	Genes	6.30676743253838e-92
136756	Rps4x	Rps8	0.487770089528734	Genes	Genes	1.2859640594182701e-121
136757	Rps4x	Micos10	0.368652000985927	Genes	Genes	6.4191465027727e-66
136758	Rps4x	Txn1	0.447395192568272	Genes	Genes	3.69134583290189e-100
136759	Rps4x	Rps20	0.519465482798215	Genes	Genes	1.24171737894969e-140
136762	Rps4x	Atp5j2	0.323004408196914	Genes	Genes	4.87023315514169e-50
136764	Rps4x	Rplp0	0.428229846784549	Genes	Genes	5.93160119695896e-91
136765	Rps4x	Rpl9	0.329436344459785	Genes	Genes	4.06742366725309e-52
136766	Rps4x	Rpl6	0.352330349439979	Genes	Genes	6.22734801778504e-60
136767	Rps4x	Actb	0.355160478339221	Genes	Genes	6.035272819348421e-61
136770	Rps4x	Rpl32	0.459672439684592	Genes	Genes	2.2179362460161097e-106
136772	Rps4x	Aldoa	0.31003328844864	Genes	Genes	5.27694717414055e-46
136774	Rps4x	Rps16	0.339334242144368	Genes	Genes	2.0497181261294697e-55
136775	Rps4x	Rpl27a	0.399081400538912	Genes	Genes	4.61259378064427e-78
136776	Rps4x	Rps9	0.406396132944566	Genes	Genes	3.53257830805373e-81
136777	Rps4x	Cox6a2	0.317904736481996	Genes	Genes	1.98185601333649e-48
136778	Rps4x	Rps11	0.366905283495696	Genes	Genes	2.9112366042948e-65
136779	Rps4x	Rpl28	0.43130279753836	Genes	Genes	2.1710730542321697e-92
136780	Rps4x	Ftl1	0.394972022008038	Genes	Genes	2.4065386477565e-76
136781	Rps4x	Rps19	0.444976428246149	Genes	Genes	5.78940516757977e-99
136782	Rps4x	Rps17	0.444314095588416	Genes	Genes	1.2233317645989401e-98
136783	Rps4x	Rps3	0.476855720360189	Genes	Genes	1.58527997281207e-115
136784	Rps4x	Rps13	0.381711846416735	Genes	Genes	5.68801238549042e-71
136785	Rps4x	Rps15a	0.451224918372664	Genes	Genes	4.52271614533435e-102
136787	Rps4x	Rps5	0.495658535395695	Genes	Genes	3.657135228448e-126
